date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:41	229223/229223	---MCZ	200	added ('OK')	text/html	etag:W/%2262677758-37f67%22	https://htmldemo.net/corano/corano/index.html	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/index.html	(from )
18:26:42	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2015:28:48%20GMT	https://htmldemo.net/robots.txt		(from )
18:26:42	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226267778e-47e%22	https://htmldemo.net/corano/corano/assets/img/favicon.ico	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/img/favicon.ico	(from https://htmldemo.net/corano/corano/index.html)
18:26:43	9757/9757	---MCZ	200	added ('OK')	text/css	etag:W/%22626777ad-261d%22	https://htmldemo.net/corano/corano/assets/css/vendor/pe-icon-7-stroke.css	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/css/vendor/pe-icon-7-stroke.css	(from https://htmldemo.net/corano/corano/index.html)
18:26:43	155800/155800	---MCZ	200	added ('OK')	text/css	etag:W/%22626777ac-26098%22	https://htmldemo.net/corano/corano/assets/css/vendor/bootstrap.min.css	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/corano/corano/index.html)
18:26:45	31017/31017	---MCZ	200	added ('OK')	text/css	etag:W/%22626777ac-7929%22	https://htmldemo.net/corano/corano/assets/css/vendor/font-awesome.min.css	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/css/vendor/font-awesome.min.css	(from https://htmldemo.net/corano/corano/index.html)
18:26:45	1284/1284	---MCZ	200	added ('OK')	text/css	etag:W/%22626777ab-504%22	https://htmldemo.net/corano/corano/assets/css/plugins/slick.min.css	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/css/plugins/slick.min.css	(from https://htmldemo.net/corano/corano/index.html)
18:26:45	59709/59709	---MCZ	200	added ('OK')	text/css	etag:W/%22626777ab-e93d%22	https://htmldemo.net/corano/corano/assets/css/plugins/animate.css	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/css/plugins/animate.css	(from https://htmldemo.net/corano/corano/index.html)
18:26:46	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%22626777aa-fa7%22	https://htmldemo.net/corano/corano/assets/css/plugins/nice-select.css	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/css/plugins/nice-select.css	(from https://htmldemo.net/corano/corano/index.html)
18:26:46	15636/15636	---MCZ	200	added ('OK')	text/css	etag:W/%22626777aa-3d14%22	https://htmldemo.net/corano/corano/assets/css/plugins/jqueryui.min.css	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/css/plugins/jqueryui.min.css	(from https://htmldemo.net/corano/corano/index.html)
18:26:47	504/504	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20May%202024%2015:28:53%20GMT	https://htmldemo.net/corano/corano/assets/img/icon/en.png	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/img/icon/en.png	(from https://htmldemo.net/corano/corano/index.html)
18:26:47	239/239	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20May%202024%2015:28:53%20GMT	https://htmldemo.net/corano/corano/assets/img/icon/fr.png	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/img/icon/fr.png	(from https://htmldemo.net/corano/corano/index.html)
18:26:47	904/904	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20May%202024%2015:28:54%20GMT	https://htmldemo.net/corano/corano/assets/img/logo/logo.png	C:/Benim%20Web%20Sitem/Corano/htmldemo.net/corano/corano/assets/img/logo/logo.png	(from https://htmldemo.net/corano/corano/index.html)
